t,J1,J2,J3,J4,J5,J6
0.105639,1.2300,-1.0500,-91.0500,-0.8700,0.0800,0.7900
0.207111,1.4059,-0.9706,-91.1164,-0.8990,0.1102,0.9305
0.306227,1.8031,-0.7823,-91.2805,-0.9530,0.1640,1.2759
0.403509,2.6473,-0.3430,-91.7041,-0.9889,0.2025,2.1444
0.501295,3.7580,0.1988,-92.2320,-1.0176,0.2728,3.2370
0.595837,5.1706,0.8452,-92.8606,-1.0459,0.3619,4.6266
0.698181,6.8329,1.5463,-93.5430,-1.0648,0.4607,6.2690
0.797236,8.6619,2.2425,-94.2220,-1.0694,0.5626,8.0838
0.895343,10.5568,2.8793,-94.8459,-1.0580,0.6614,9.9718
0.994247,12.4092,3.4174,-95.3776,-1.0316,0.7514,11.8253
1.088007,14.1146,3.8383,-95.7992,-0.9937,0.8281,13.5393
1.187483,15.5830,4.1430,-96.1109,-0.9497,0.8882,15.0227
1.286445,16.7484,4.3473,-96.3260,-0.9058,0.9302,16.2078
1.384343,17.4458,4.4319,-96.4132,-0.8914,0.9970,16.8293
1.482183,17.9571,4.5001,-96.4861,-0.8734,1.0127,17.3623
1.579463,18.2208,4.5447,-96.5376,-0.8536,0.9963,17.6797
1.678139,18.2208,4.5447,-96.5376,-0.8536,0.9963,17.6797
